,EVENTO,UF,MUNICÍPIO,SITE,ROTA,DATA CRIAÇÃO,GESTOR ATUAL,PREVISÃO SOBRESSALENTE,Ação,Prazo,Status,Fabricante,Modelo,Cod_Modelo,SS,Afetação
26,325118743,BA,SÃO FRANCISCO DO CONDE,NRL,BA-CAPITAL,19/11/2024 21:38:14,O&M ACESSO VIVO_N1_BA/SE_Acesso,-,"Documentação enviada , aguardando retorno da fábrica /BTC",30/04/2025,Acesso,,,,,4G
27,325497204,BA,PORTO SEGURO,TNO,BA-SUL,27/11/2024 03:56:06,O&M ACESSO VIVO_N1_BA/SE,-,Unidade em transito Nokia Cartao flash card,26/04/2025,Vivo Avaliar,,,,11603,Analisar
28,325652601,BA,MEDEIROS NETO,USM,BA-SUL,29/11/2024 13:42:53,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,DIPLEX B28 + B5,,Sobressalente,ERICSSON,DIPLEX B28 + B5,KRF102378/12,12580,
29,326380671,BA,PINDOBAÇU,CBX,BA-NORTE,11/12/2024 14:56:41,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,RRUS12B5,KRC161321/2,12195,2G/3G
30,326410352,BA,CAMAÇARI,CPV,BA-CAPITAL,12/12/2024 03:37:45,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,0,00/01/1900,Sobressalente,TELLABS,8611FAN MODULE,81.86S-8615-R6,11629,Sem Impacto
31,326478065,BA,JUAZEIRO,JCC,BA-NORTE,13/12/2024 02:05:23,O&M ACESSO VIVO_N1_BA/SE,-,aguardando placa desde 13/12,,Vivo Avaliar,,,,,Analisar
32,327072139,BA,SALVADOR,VLA,BA-CAPITAL,23/12/2024 18:08:37,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,Alarrme de BSC,,Sobressalente,ERICSSON,BSC,ROJ208323/1,11736,BSC
33,327333666,BA,SALVADOR,OPH,BA-CAPITAL,28/12/2024 19:21:52,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,IMPOSSIBILIDADE DE ACESSO DEVIDO AS FESTIVIDADES DE CARNAVAL NO LOCAL,28/02/2025,Sobressalente,ERICSSON,DIPLEX FILTER HIGH,KRF102301/2,11410,Analisar
34,327866446,BA,CANSANÇÃO,CSC,BA-NORTE,07/01/2025 19:29:51,O&M ACESSO VIVO_N1_BA/SE,-,Tramitado Icomon,,Vivo Avaliar,,,,,Analisar
35,328310619,BA,SALVADOR,SNV,BA-CAPITAL,15/01/2025 13:48:07,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,DIPLEX FILTER HIGH,KRF102301/2,12517,
36,328680571,BA,CÂNDIDO SALES,CSS,BA-OESTE,21/01/2025 10:32:11,ICOMON_O&M-BA_SE (Terceiro),-,02/05  - OS: 586058985 de ar condicionado aprovada. A troca do gabinete não será necessária,,Icomon Atuando,,,,,
