EVENTO;UF;CN;;MUNICÍPIO;COORDENAÇÃO;SITE;DATA CRIAÇÃO;GESTOR ATUAL;PREVISÃO SOBRESSALENTE
343339688;PI;86;A+;MORRO DO CHAPÉU DO PIAUÍ;ESPERANTINA;MCU;18/05/2025 11:06:06;ICOMON_O&M-NE (Terceiro);-
343341047;BA;71;D;MATA DE SÃO JOÃO;BA-CAPITAL;ASA;18/05/2025 11:35:58;ICOMON_O&M-BA_SE (Terceiro);-
343342437;BA;73;E;CAMACAN;BA-SUL;CAM;18/05/2025 12:14:58;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
343342901;BA;75;C;ENTRE RIOS;BA-NORTE;MRP;18/05/2025 12:26:05;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
343344962;PE;;A+;RECIFE;;XCM;18/05/2025 13:31:29;O&M ACESSO VIVO_N1_NE_Sobressalente;-
343348813;BA;75;E;CACHOEIRA;BA-SUL;CHE;18/05/2025 15:14:56;O&M ACESSO VIVO_N1_BA/SE;-
343351722;AL;;A+;SÃO MIGUEL DOS CAMPOS;;XSC;18/05/2025 16:14:30;O&M ACESSO VIVO_N1_BA/SE;-
343370809;SE;79;B;SIMÃO DIAS;;SDS;18/05/2025 23:00:01;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
343370865;AL;82;B;MACEIÓ;;THC;18/05/2025 23:01:14;O&M ACESSO VIVO_N1_NE_Sobressalente;-
343370976;AL;82;B;MACEIÓ;;PGL;18/05/2025 23:03:28;ICOMON_O&M-NE (Terceiro);-
343372145;AL;82;B;MARECHAL DEODORO;;MHS;18/05/2025 23:23:21;ICOMON_O&M-NE (Terceiro);-
343375151;PI;86;A+;TERESINA;TERESINA;SRA;19/05/2025 00:34:25;ICOMON_O&M-NE (Terceiro);-
343376722;BA;74;B;CAFARNAUM;;CFP;19/05/2025 01:10:14;ICOMON_O&M-BA_SE (Terceiro);-
343388899;PI;86;C;BARRAS;ESPERANTINA;BRR;19/05/2025 06:05:02;ICOMON_O&M-NE (Terceiro);-
343392156;SE;79;A+;ARACAJU;;NAP;19/05/2025 07:10:46;O&M ACESSO VIVO_N1_BA/SE_Fatura_B;-
343406944;PE;81;B;CAMARAGIBE;;ADE;19/05/2025 11:17:44;O&M ACESSO VIVO_N1_NE_Sobressalente;-
343407267;AL;82;B;MACEIÓ;;PRQ;19/05/2025 11:22:58;ICOMON_O&M-NE (Terceiro);-
343409431;BA;73;B;PORTO SEGURO;BA-SUL;ADA;19/05/2025 11:57:34;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
343415332;AL;82;B;MACEIÓ;;MBI;19/05/2025 13:34:50;ICOMON_O&M-NE (Terceiro);-
343415343;BA;75;A+;MUTUÍPE;BA-SUL;MUE;19/05/2025 13:35:06;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
343420964;PB;83;A+;CABEDELO;;JRP;19/05/2025 14:56:05;O&M ACESSO VIVO_N1_NE_Acesso;-
343421181;BA;77;A+;BARREIRAS;BA-OESTE;BVB;19/05/2025 14:59:13;ICOMON_O&M-BA_SE (Terceiro);-
343424598;BA;;E;CAMPO ALEGRE DE LOURDES;;XAL;19/05/2025 15:38:19;ICOMON_O&M-BA_SE (Terceiro);-
343425968;BA;;A;SALVADOR;BA-CAPITAL;MTU;19/05/2025 15:56:29;O&M ACESSO VIVO_N1_BA/SE;-
343428335;BA;71;A;SALVADOR;BA-CAPITAL;LBE;19/05/2025 16:29:12;O&M ACESSO VIVO_N1_BA/SE;-
343428480;PB;83;A+;JOÃO PESSOA;;JPA;19/05/2025 16:32:00;ICOMON_O&M-NE (Terceiro);-
343429501;PI;;D;ALVORADA DO GURGUÉIA;BOM JESUS;ALG;19/05/2025 16:46:30;ICOMON_O&M-NE (Terceiro);-
